Borrower,Borrower Trader,Lender,Lender Trader,Term,Volume,Rate,Depo.Repo,Bid.Broker,Ask.Broker,Net,AS_OF_DATE
兴业银行资管,阮凯越,光大银行,尹春辉,1,4.4,1.5,NA,NA,NA,NA,4/1/2020
恒大人寿,NA,国泰基金,NA,7,5,1.7,NA,NA,NA,NA,4/1/2020
交银康联人寿,NA,江苏银行上海,沈煜,1,1,1.5,NA,NA,NA,NA,4/1/2020
华夏基金,NA,民生银行资管,NA,7,0.6,1.9,NA,NA,NA,NA,4/1/2020
德邦基金,NA,江苏银行上海,沈煜,1,2,1.5,NA,NA,NA,NA,4/1/2020
洛阳银行,NA,恩施农商,NA,1,3,1.5,NA,NA,NA,NA,4/1/2020
万家基金,NA,哈尔滨银行,NA,1,6,1.5,NA,NA,NA,NA,4/1/2020
广州农商,NA,建行,吴凡,1,30,1.4,NA,NA,NA,NA,4/1/2020
广州农商,NA,浦发银行,白严 货币市场部,1,6,1.4,NA,NA,NA,NA,4/1/2020
秦农农商,NA,浦发银行,白严 货币市场部,1,10,1.4,NA,NA,NA,NA,4/1/2020
万家基金,NA,江苏银行上海,沈煜,1,1.3,1.5,NA,NA,NA,NA,4/1/2020
菏泽农商,NA,农行北京,甄志昊,1,5,1.4,NA,NA,NA,NA,4/1/2020
建信投资,NA,华安基金,NA,7,5,1.7,NA,NA,NA,NA,4/1/2020
南方基金,NA,民生银行资管,NA,1,2,1.6,NA,NA,NA,NA,4/1/2020
南方基金,NA,兴业银行,周平 计财部,1,12.13,1.5,NA,NA,NA,NA,4/1/2020
浦发,刘乙一 货币市场部,浙商,龚亚婷,1,10,1.41,depo,NA,NA,NA,4/1/2020
博时基金,NA,北京银行,胡畏,1,15,1.5,NA,NA,NA,NA,4/1/2020
恒丰银行资管,NA,甘肃省联社,NA,7,7,1.65,NA,NA,NA,NA,4/1/2020
百年人寿,NA,招行,邹萌 资负部,1,3,1.5,NA,NA,NA,NA,4/1/2020
中融基金,汪曼琪,招行,邹萌 资负部,1,1,1.5,NA,NA,NA,NA,4/1/2020
招行,邹萌 资负部,浦发,白严 货币市场部,1,50,1.403,拆借,NA,NA,net,4/1/2020
招行,邹萌 资负部,dbs,NA,1,5,1.403,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,ocbc,NA,1,5,1.403,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,citi,NA,1,5,1.403,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,永丰银行,滕世杰,1,1,1.403,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,蒙特利尔,NA,1,2.6,1.403,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,westpac,dora huang,1,0.4,1.403,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,盘谷银行,邓鹏程,1,2,1.4,拆借,NA,NA,NA,4/1/2020
招行,邹萌 资负部,瑞穗,NA,1,3,1.403,拆借,NA,NA,NA,4/1/2020
厦门农,李晶晶,国开,米良,1,5,1.4,NA,NA,NA,NA,4/1/2020
苏州农,陈晔,国开,米良,1,6,1.4,NA,NA,NA,NA,4/1/2020
恒生,金丽颖,国开,米良,1,10,1.4,NA,NA,NA,NA,4/1/2020
安徽省联社,NA,国开,米良,1,10,1.4,NA,NA,NA,NA,4/1/2020
兰州银行,NA,国开,米良,1,20,1.4,NA,NA,NA,NA,4/1/2020
赣州银行,NA,口行,黄鹏,1,3,1.4,NA,NA,NA,NA,4/1/2020
浙江省联社,NA,口行,黄鹏,1,10,1.4,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,口行,黄鹏,1,2,1.4,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,浦发银行,刘乙一,1,2,1.46,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,浦发银行,刘乙一,1,2,1.46,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,江苏银行sh,沈煜,1,2,1.44,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,江苏银行sh,沈煜,1,2,1.44,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,招行,邹萌 资负部,1,2,1.44,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,招行,邹萌 资负部,1,2,1.44,NA,NA,NA,NA,4/1/2020
国金证券衍生品部,叶茜茜,招行,邹萌 资负部,1,2,1.44,NA,NA,NA,NA,4/1/2020
银河基金,NA,青海省联社,NA,7,1.8,1.6,NA,NA,NA,NA,4/1/2020
百年人寿,NA,浦发银行,王珏 货币市场部,1,5.5,1.5,NA,NA,NA,NA,4/1/2020
国君资负部,梁清,杭州银行,NA,1,10,1.7,拆借,NA,NA,NA,4/1/2020
赣州银行,NA,恩施农商行,NA,1,3,1.3,NA,NA,NA,NA,4/1/2020
湛江农商,NA,郑州市郊联社,NA,1,4,1.4,NA,NA,NA,NA,4/1/2020
易方达基金,NA,浦发银行,刘乙一 货币市场部,1,10,1.6,NA,NA,NA,NA,4/1/2020
易方达基金,NA,光大银行,尹春辉,1,5,1.5,NA,NA,NA,NA,4/1/2020
招金财务,NA,兴业银行,周平,1,4.5,1.5,NA,NA,NA,NA,4/1/2020
国民银行,范春来,浦发银行,王珏 货币市场部,1,2,1.5,拆借,NA,NA,NA,4/1/2020
南山财务,NA,浦发银行,刘乙一 货币市场部,1,4.8,1.5,NA,NA,NA,NA,4/1/2020
bea,NA,渣打,江婉玲,1,1,1.403,拆借,NA,NA,NA,4/1/2020
bea,NA,db,吴婷雄,1,3,1.403,拆借,NA,NA,NA,4/1/2020
bea,NA,中信银行,潘岳新,1,6,1.4,NA,NA,NA,NA,4/1/2020
bea,NA,招行,邹萌 资负部,1,5,1.4,NA,NA,NA,NA,4/1/2020
浦发资管,李蕾,广发银行,裴铎,1,10,1.5,NA,NA,NA,NA,4/1/2020
浦发资管,王希哲,甘肃银行,黄瑜倩,1,5,1.6,NA,NA,NA,NA,4/1/2020
浦发资管,王希哲,光大银行,尹春辉,1,5,1.5,NA,NA,NA,NA,4/1/2020
浦发资管,王希哲,光大银行,王培萌,1,5,1.5,NA,NA,NA,NA,4/1/2020
浦发资管,吕雨田,渣打,严络诗,1,3,1.5,NA,NA,NA,NA,4/1/2020
浦发资管,吕雨田,兴业银行,周平,1,6,1.5,NA,NA,NA,NA,4/1/2020
浦发资管,吕雨田,兴业银行,周平,1,9,1.5,NA,NA,NA,NA,4/1/2020
浦发资管,杨庆彬,交银施罗德,NA,7,5,1.7,NA,NA,NA,NA,4/1/2020
浦发资管,杨庆彬,泉州银行,许汉坡,7,5,1.7,NA,NA,NA,NA,4/1/2020
浦发资管,杨庆彬,兰州银行,NA,1,5,1.8,NA,NA,NA,NA,4/1/2020
浦发资管,杨庆彬,柳州银行,NA,1,5,1.7,NA,NA,NA,NA,4/1/2020
浦发资管,杨庆彬,廊坊银行,孙选龙,1,5,1.6,NA,NA,NA,NA,4/1/2020
